dataset,condition,chamber,Individual,genotype,location,num_leaves,plant_width,longest_leaf_length,plant_height,planting_date,rosette_id,status,rep,round,date,DAP,relative_dap
temp,16,15,11161L_15_16_7,NY_65,NYC,4,0.5,0.25,0,2/1/23,ig,GD,7,2,2/17/23,16,0.23880597014925373
temp,16,15,11161L_15_16_7,NY_65,NYC,4,0.5,0.25,0,2/1/23,ig,GD,7,2,2/20/23,19,0.2835820895522388
temp,16,15,11161L_15_16_7,NY_65,NYC,5,1.5,1.2,0,2/1/23,ig,GD,7,2,2/27/23,26,0.3880597014925373
temp,16,15,11161L_15_16_7,NY_65,NYC,5,1.5,1.2,0,2/1/23,ig,GD,7,2,3/1/23,28,0.417910447761194
temp,16,15,13184E_15_16_1,NY_06,NYC,2,0.5,0.25,0,2/1/23,ih,GD,1,2,2/27/23,26,0.4727272727272727
temp,16,15,13184E_15_16_1,NY_06,NYC,4,2,1.5,0,2/1/23,ih,GD,1,2,3/1/23,28,0.509090909090909
temp,16,15,13184E_15_16_1,NY_06,NYC,4,4,1.5,0,2/1/23,ih,GD,1,2,3/7/23,34,0.6181818181818182
temp,16,15,13184E_15_16_1,NY_06,NYC,6,7,3,0,2/1/23,ih,GD,1,2,3/10/23,37,0.6727272727272727
temp,16,15,13184E_15_16_6,NY_06,NYC,5,7,2.5,0,2/1/23,ij,G,6,2,2/17/23,16,0.2909090909090909
temp,16,15,13184E_15_16_6,NY_06,NYC,7,9.5,6,0,2/1/23,ij,G,6,2,2/20/23,19,0.34545454545454546
temp,16,15,13184E_15_16_6,NY_06,NYC,9,18,9,0,2/1/23,ij,G,6,2,2/27/23,26,0.4727272727272727
temp,16,15,13184E_15_16_6,NY_06,NYC,15,27,15,0,2/1/23,ij,G,6,2,3/7/23,34,0.6181818181818182
temp,16,15,13184E_15_16_6,NY_06,NYC,29,32,16.5,0,2/1/23,ij,H,6,2,3/10/23,37,0.6727272727272727
