dataset,temp,condition,individual,genotype,paper_genotype,location,num_leaves,plant_width,longest_leaf_length,plant_height,planting_date,rosette_id,rep,round,date,DAP,start_weight,end_weight,weight_added,relative_dap
soil_moisture,20,Control,2.16_C_2,2.16,NY_63,NYC,2,0,0,0,8/22/24,aa,2,1,8/9/24,13,0,0,0,0.13
soil_moisture,20,Control,2.16_C_2,2.16,NY_63,NYC,4,0,0,0,8/26/24,aa,2,1,8/26/24,0,0,125,0,0
soil_moisture,20,Control,2.16_C_2,2.16,NY_63,NYC,12,0,0,0,8/26/24,aa,2,1,9/3/24,8,80,139,59,0.08
soil_moisture,20,Control,216_C_3,2.16,NY_63,NYC,2,0,0,0,7/30/24,ab,3,1,7/30/24,0,0,0,0,0
soil_moisture,20,Control,216_C_3,2.16,NY_63,NYC,2,0,0,0,7/30/24,ab,3,1,8/5/24,6,0,0,0,0.06
soil_moisture,20,Control,2.16_C_3,2.16,NY_63,NYC,4,0,0,0,8/21/24,ab,3,1,8/9/24,12,0,0,0,0.12
soil_moisture,20,Control,2.16_C_3,2.16,NY_63,NYC,4,0,0,0,8/26/24,ab,3,1,8/26/24,0,0,125,0,0
soil_moisture,20,Control,2.16_C_3,2.16,NY_63,NYC,10,0,0,0,8/26/24,ab,3,1,9/3/24,8,80,125,45,0.08
soil_moisture,20,HW1,216_HW1_1,2.16,NY_63,NYC,2,0,0,0,7/30/24,ac,1,1,7/30/24,0,0,0,0,0
soil_moisture,20,HW1,216_HW1_1,2.16,NY_63,NYC,2,0,0,0,7/30/24,ac,1,1,8/5/24,6,0,0,0,0.06
soil_moisture,20,HW1,2.16_HW1_1,2.16,NY_63,NYC,2,0,0,0,8/20/24,ac,1,1,8/9/24,11,0,0,0,0.11
soil_moisture,20,HW1,2.16_HW1_1,2.16,NY_63,NYC,4,0,0,0,8/26/24,ac,1,1,8/26/24,0,0,139,0,0
soil_moisture,20,HW1,2.16_HW1_1,2.16,NY_63,NYC,4,0,0,0,8/26/24,ac,1,1,8/26/24,0,0,139,0,0
soil_moisture,20,HW1,2.16_HW1_1,2.16,NY_63,NYC,13,0,0,0,8/26/24,ac,1,1,9/3/24,8,85,139,54,0.08
soil_moisture,20,HW1,216_HW1_3,2.16,NY_63,NYC,2,0,0,0,8/5/24,ad,3,1,8/5/24,0,0,0,0,0
soil_moisture,20,HW1,2.16_HW1_3,2.16,NY_63,NYC,2,0,0,0,8/24/24,ad,3,1,8/9/24,15,0,0,0,0.15
soil_moisture,20,HW1,2.16_HW1_3,2.16,NY_63,NYC,11,0,0,0,8/26/24,ad,3,1,9/3/24,8,86,139,53,0.08
soil_moisture,20,HW2,216_HW2_1,2.16,NY_63,NYC,2,0,0,0,7/30/24,ae,1,1,7/30/24,0,0,0,0,0
soil_moisture,20,HW2,216_HW2_1,2.16,NY_63,NYC,2,0,0,0,8/5/24,ae,1,1,8/5/24,0,0,0,0,0
soil_moisture,20,HW2,2.16_HW2_1,2.16,NY_63,NYC,4,0,0,0,8/23/24,ae,1,1,8/9/24,14,0,0,0,0.14
soil_moisture,20,HW2,2.16_HW2_1,2.16,NY_63,NYC,4,0,0,0,8/26/24,ae,1,1,8/26/24,0,0,153,0,0
soil_moisture,20,HW2,216_HW2_1,2.16,NY_63,NYC,12,0,0,0,8/26/24,ae,1,1,9/3/24,8,103,152,49,0.08
soil_moisture,20,HW2,2.16_HW2_3,2.16,NY_63,NYC,6,0,0,0,8/26/24,af,3,1,8/26/24,0,0,152,0,0
soil_moisture,20,LW2,13.184_LW2_3,13.184,NY_06,NYC,2,0,0,0,8/5/24,ag,3,1,8/5/24,0,0,0,0,0
soil_moisture,20,LW2,13.184_LW2_3,13.184,NY_06,NYC,2,0,0,0,8/25/24,ag,3,1,8/9/24,16,0,0,0,0.16
soil_moisture,20,LW2,13.184_LW2_3,13.184,NY_06,NYC,6,0,0,0,8/26/24,ag,3,1,8/26/24,0,0,111,0,0
soil_moisture,20,LW2,13.184_LW2_3,13.184,NY_06,NYC,13,0,0,0,8/26/24,ag,3,1,9/3/24,8,74,111,37,0.08
soil_moisture,20,Control,20.295_C_1,20.295,NY_30,NYC,6,0,0,0,8/26/24,ah,1,1,8/26/24,0,0,125,0,0
soil_moisture,20,Control,20.295_C_1,20.295,NY_30,NYC,13,0,0,0,8/26/24,ah,1,1,9/3/24,8,63,125,62,0.11764705882352941
soil_moisture,20,Control,20.295_C_2,20.295,NY_30,NYC,14,0,0,0,8/26/24,ai,2,1,9/3/24,8,81,125,44,0.11764705882352941
soil_moisture,20,Control,20.295_C_3,20.295,NY_30,NYC,2,0,0,0,8/5/24,aj,3,1,8/5/24,0,0,0,0,0
soil_moisture,20,Control,20.295_C_3,20.295,NY_30,NYC,2,0,0,0,8/13/24,aj,3,1,8/9/24,4,0,0,0,0.058823529411764705
soil_moisture,20,Control,20.295_C_3,20.295,NY_30,NYC,4,0,0,0,8/26/24,aj,3,1,8/26/24,0,0,125,0,0
soil_moisture,20,Control,20.295_C_3,20.295,NY_30,NYC,12,0,0,0,8/26/24,aj,3,1,9/3/24,8,82,139,57,0.11764705882352941
soil_moisture,20,HW1,20.295_HW1_1,20.295,NY_30,NYC,2,0,0,0,8/5/24,ak,1,1,8/5/24,0,0,0,0,0
soil_moisture,20,HW1,20.295_HW1_1,20.295,NY_30,NYC,2,0,0,0,8/13/24,ak,1,1,8/9/24,4,0,0,0,0.058823529411764705
soil_moisture,20,HW1,20.295_HW1_1,20.295,NY_30,NYC,4,0,0,0,8/26/24,ak,1,1,8/26/24,0,0,139,0,0
soil_moisture,20,HW1,20.295_HW1_1,20.295,NY_30,NYC,9,0,0,0,8/26/24,ak,1,1,9/3/24,8,80,139,59,0.11764705882352941
soil_moisture,20,HW2,20.295_HW2_P1_3,20.295,NY_30,NYC,2,0,0,0,8/5/24,al,3,1,8/5/24,0,0,0,0,0
soil_moisture,20,HW2,20.295_HW2_P2_3,20.295,NY_30,NYC,2,0,0,0,8/5/24,al,3,1,8/5/24,0,0,0,0,0
soil_moisture,20,HW2,20.295_HW2_P1_3,20.295,NY_30,NYC,2,0,0,0,8/18/24,al,3,1,8/9/24,9,0,0,0,0.1323529411764706
soil_moisture,20,HW2,20.295_HW2_P2_3,20.295,NY_30,NYC,2,0,0,0,8/19/24,al,3,1,8/9/24,10,0,0,0,0.14705882352941177
soil_moisture,20,HW2,20.295_HW2_3,20.295,NY_30,NYC,4,0,0,0,8/26/24,am,3,1,8/26/24,0,0,153,0,0
soil_moisture,20,HW2,20.295_HW2_3,20.295,NY_30,NYC,12,0,0,0,8/26/24,am,3,1,9/3/24,8,97,152,55,0.11764705882352941
soil_moisture,20,LW1,20.295_LW1_1,20.295,NY_30,NYC,2,0,0,0,7/30/24,an,1,1,7/30/24,0,0,0,0,0
soil_moisture,20,LW1,20.295_LW1_1,20.295,NY_30,NYC,4,0,0,0,7/30/24,an,1,1,8/5/24,6,0,0,0,0.08823529411764706
soil_moisture,20,LW1,20.295_LW1_1,20.295,NY_30,NYC,6,0,0,0,8/26/24,an,1,1,8/26/24,0,0,98,0,0
soil_moisture,20,LW1,20.295_LW1_1,20.295,NY_30,NYC,11,0,0,0,8/26/24,an,1,1,9/3/24,8,71,98,27,0.11764705882352941
soil_moisture,20,LW1,20.295_LW1_2,20.295,NY_30,NYC,2,0,0,0,8/5/24,ao,2,1,8/5/24,0,0,0,0,0
soil_moisture,20,LW1,20.295_LW1_2,20.295,NY_30,NYC,6,0,0,0,8/26/24,ao,2,1,8/26/24,0,0,99,0,0
soil_moisture,20,LW1,20.295_LW1_2,20.295,NY_30,NYC,11,0,0,0,8/26/24,ao,2,1,9/3/24,8,72,99,27,0.11764705882352941
soil_moisture,20,LW1,20.295_LW1_3,20.295,NY_30,NYC,2,0,0,0,7/30/24,ap,3,1,7/30/24,0,0,0,0,0
soil_moisture,20,LW1,20.295_LW1_3,20.295,NY_30,NYC,4,0,0,0,7/30/24,ap,3,1,8/5/24,6,0,0,0,0.08823529411764706
soil_moisture,20,LW1,20.295_LW1_3,20.295,NY_30,NYC,4,0,0,0,8/14/24,ap,3,1,8/9/24,5,0,0,0,0.07352941176470588
soil_moisture,20,LW1,20.295_LW1_3,20.295,NY_30,NYC,6,0,0,0,8/26/24,ap,3,1,8/26/24,0,0,98,0,0
soil_moisture,20,LW1,20.295_LW1_3,20.295,NY_30,NYC,14,0,0,0,8/26/24,ap,3,1,9/3/24,8,72,99,27,0.11764705882352941
soil_moisture,20,LW2,20.295_LW2_P1_1,20.295,NY_30,NYC,4,0,0,0,8/5/24,aq,1,1,8/5/24,0,0,0,0,0
soil_moisture,20,LW2,20.295_LW2_P2_1,20.295,NY_30,NYC,4,0,0,0,8/5/24,aq,1,1,8/5/24,0,0,0,0,0
